X,Y,PAKKETCODE,PUT
159725,444018,WVP1_diep,B39B0299
157587,446557,WVP1_ondiep,B39B0336
158608,445899,WVP1_ondiep,B39B0338
158360,445185,WVP1_ondiep,B39B0340
158780,446350,WVP1_diep,B39B0341
157760,446140,Deklaag,B39B0420
157669,444504,Freatisch,B39B1396
157669,444504,WVP1_diep,B39B1396
158097,444825,Freatisch,B39B1397
158097,444825,WVP1_diep,B39B1397
157871,445233,WVP1_diep,B39B1398
158897,445323,WVP1_diep,B39B1399
159603,445466,Freatisch,B39B1400
159734,445830,Freatisch,B39B1401
156313,444715,WVP1_diep,B39B1403
156949,443745,WVP1_diep,B39B1404
159694,445159,WVP1_diep,B39B1406
159967,444538,WVP1_diep,B39B1407
161960,445100,WVP1_diep,B39E0224
161115,445150,WVP1_diep,B39E0248
161050,445250,Freatisch,B39E0400
160396,444546,WVP1_diep,B39E2660
160683,445873,Freatisch,B39E2661
160113,444988,WVP1_diep,B39E2663
160203,445393,WVP1_diep,B39E2664
160203,445393,Freatisch,B39E2664
160742,445450,Freatisch,B39E2665
127991,448388,Deklaag,B38E1613
127644,448541,Deklaag,B38E1614
127610,448404,Deklaag,B38E1615
127610,448404,WVP1_ondiep,B38E1615
127028,448573,Deklaag,B38E1616
127028,448573,WVP1_ondiep,B38E1616
127290,448727,Deklaag,B38E1617
127402,448222,Deklaag,B38E1618
127227,448568,Deklaag,B38E1619
128017,448887,Freatisch,B38E1620
127348,448773,Deklaag,B38E1621
127671,448866,Deklaag,B38E1622
127671,448866,WVP1_ondiep,B38E1622
117745,462718,Freatisch,B31B1239
117745,462718,Freatisch,B31B1239
117745,462719,WVP1_ondiep,B31B1239
117754,462696,Freatisch,B31B1240
117754,462695,Freatisch,B31B1240
117786,462428,Freatisch,B31D1554
117786,462427,Freatisch,B31D1554
117797,462296,Freatisch,B31D1555
117797,462296,Freatisch,B31D1555
117797,462295,WVP1_ondiep,B31D1555
117540,461832,Freatisch,B31D1558
117540,461832,Freatisch,B31D1558
117540,461832,Freatisch,B31D1558
117494,462098,Freatisch,B31D1559
118110,462406,Freatisch,B31D1624
129919,445890,Freatisch,B38E1623
129919,445890,WVP1_ondiep,B38E1623
