Annual maxima of daily discharge,Annual maxima of daily precipitation,Annual maxima of daily precipitation and snowmelt,Annual maxima of daily snowmelt,Annual maxima of daily total runoff coefficient,Annual mean of daily discharge,Annual mean of daily near-surface air temperature,Annual mean of daily precipitation,Annual mean of daily total runoff coefficient,Area,Average elevation,Average water capacity,Build-up areas,Circularity,Clay,Confidence,Eolian deposits,Forests,Glaciers,Gravel,Irrigated agriculture,Lakes,Marshes,Peat,River network density,River slopeness,Sand,Silt,Slopeness (average),Soil sealing,Soil texture (dimensionless index from 1 to 13),Steepness (equation),Time of concentration,Total area,Unconsolidated deposits,U-matrix,X,Y,XY,Total events in node
438.545,26.434,30.982,20.548,0.704,267.448,275.424,1.781,0.396,27942.941,129.144,69.328,0.987,0.247,7.602,40.492,0.048,56.819,0.000,9.697,0.002,22.659,3.852,1.284,0.285,3.427,63.202,29.081,2.653,0.290,2.502,7.743,365.753,26038.041,16.373,0.415,0,0,0,273.000
402.571,26.427,30.859,20.375,0.704,244.082,275.647,1.783,0.394,25573.925,129.204,65.512,1.122,0.247,7.753,40.709,0.044,56.986,0.000,9.846,0.002,21.929,3.600,1.179,0.282,3.304,62.979,29.166,2.694,0.304,2.601,7.685,354.003,23851.664,15.798,0.805,1,0,1,nan
207.349,26.453,30.266,20.008,0.713,111.256,276.954,1.766,0.390,12403.758,113.535,40.325,1.764,0.241,8.859,44.784,0.019,57.808,0.000,13.655,0.001,17.044,2.051,0.571,0.276,2.849,61.299,29.812,2.992,0.465,3.537,6.558,312.901,11804.839,11.497,1.105,2,0,2,1.000
107.809,26.416,30.029,20.172,0.726,36.533,277.639,1.738,0.392,5221.266,101.434,30.887,1.976,0.232,9.333,50.591,0.002,59.974,0.000,18.228,0.000,13.058,0.951,0.271,0.275,2.666,60.792,29.870,3.235,0.575,4.188,5.618,259.206,5353.635,7.021,0.633,3,0,3,69.000
105.813,26.585,30.099,19.981,0.718,33.952,277.608,1.740,0.393,4934.037,107.042,35.104,1.787,0.229,9.034,52.680,0.001,62.414,0.000,18.606,0.000,12.066,0.792,0.303,0.276,2.612,61.595,29.354,3.336,0.542,4.155,5.904,222.344,5135.893,4.887,0.301,4,0,4,240.000
89.877,27.299,30.534,19.432,0.693,28.610,277.585,1.788,0.391,3952.955,126.220,35.845,1.502,0.235,8.631,53.568,0.001,65.466,0.000,16.500,0.000,11.232,0.893,0.268,0.277,2.621,62.647,28.693,3.646,0.466,4.012,7.736,199.259,4157.851,2.884,0.444,5,0,5,74.000
71.013,28.653,31.840,19.237,0.672,21.842,277.581,1.899,0.390,2562.348,167.482,31.930,1.290,0.249,8.205,55.233,0.013,68.903,0.000,12.397,0.001,10.546,1.205,0.148,0.282,2.905,63.822,27.937,4.204,0.406,3.579,11.124,182.777,2700.057,1.109,0.663,6,0,6,103.000
59.620,29.405,32.690,18.854,0.652,19.643,277.911,1.949,0.380,2122.827,190.041,19.051,1.442,0.254,8.028,56.857,0.083,70.800,0.000,7.553,0.006,11.016,1.320,0.066,0.299,3.245,64.607,27.334,4.062,0.419,2.286,10.366,170.122,2188.047,0.439,0.757,7,0,7,21.000
43.853,28.535,32.226,19.098,0.659,16.706,278.195,1.944,0.368,1929.257,183.911,5.951,1.471,0.244,7.840,56.137,0.176,72.523,0.000,4.433,0.009,10.987,1.546,0.023,0.322,3.364,65.427,26.712,3.258,0.390,0.759,6.382,148.831,1942.817,0.171,0.631,8,0,8,70.000
31.308,27.757,32.521,21.046,0.702,11.896,277.665,1.956,0.380,1348.863,180.076,6.961,1.101,0.227,7.535,53.758,0.180,73.946,0.000,4.734,0.005,9.078,2.162,0.004,0.340,3.171,66.009,26.428,2.769,0.286,0.562,5.085,129.320,1324.140,0.032,0.515,9,0,9,88.000
27.104,26.920,32.691,22.813,0.753,8.889,277.219,1.941,0.400,960.907,172.984,10.130,0.906,0.213,7.358,54.666,0.151,75.555,0.000,5.221,0.001,6.406,2.407,0.000,0.341,2.973,66.192,26.408,2.553,0.219,0.732,5.789,118.775,932.789,0.003,0.515,10,0,10,69.000
26.274,26.558,31.812,21.958,0.753,7.376,277.866,1.911,0.397,818.856,160.660,5.884,1.089,0.209,7.431,60.880,0.146,78.249,0.000,4.587,0.001,4.450,2.154,0.000,0.311,3.152,66.440,26.090,2.608,0.245,0.487,7.976,112.496,803.943,0.004,0.482,11,0,11,63.000
21.903,27.963,31.680,18.882,0.668,5.487,278.619,1.903,0.373,623.156,145.878,1.214,1.307,0.204,7.584,66.667,0.144,79.270,0.000,3.927,0.003,3.163,2.708,0.000,0.290,3.584,66.543,25.833,2.654,0.319,0.307,10.048,103.804,615.263,0.017,0.450,12,0,12,55.000
20.781,29.643,32.086,15.806,0.562,4.964,278.812,1.898,0.349,548.301,131.167,0.096,1.478,0.205,7.686,67.325,0.137,77.458,0.000,4.013,0.005,2.476,3.754,0.003,0.293,3.814,66.288,25.982,2.616,0.383,0.293,10.186,100.150,542.697,0.072,0.386,13,0,13,100.000
25.495,30.013,31.809,14.161,0.506,6.573,278.751,1.872,0.331,721.209,120.766,0.092,1.631,0.218,7.764,63.887,0.143,73.415,0.000,4.329,0.008,2.437,4.184,0.024,0.303,3.812,65.799,26.396,2.577,0.443,0.175,8.671,104.900,715.721,0.519,0.392,14,0,14,119.000
29.580,30.175,31.634,13.772,0.491,9.146,278.835,1.828,0.311,1097.204,120.173,0.791,1.891,0.239,8.045,62.415,0.162,63.840,0.000,4.579,0.013,2.681,3.486,0.121,0.315,3.677,64.895,27.029,2.667,0.685,0.060,7.224,116.607,1097.265,3.062,0.513,15,0,15,56.000
30.331,30.793,32.109,14.045,0.492,10.948,279.249,1.811,0.282,1513.298,130.210,2.454,2.409,0.258,8.325,65.164,0.176,50.038,0.000,4.613,0.019,2.683,1.707,0.251,0.305,3.063,64.308,27.347,2.920,1.163,0.042,7.245,131.215,1532.840,7.305,0.481,16,0,16,62.000
32.294,30.706,32.108,14.160,0.494,11.542,279.588,1.832,0.269,1726.805,127.588,2.989,2.754,0.258,8.307,63.628,0.175,40.831,0.000,4.218,0.022,2.099,0.881,0.340,0.275,2.487,64.451,27.233,2.868,1.453,0.042,7.237,135.813,1775.011,8.003,0.432,17,0,17,159.000
33.934,30.448,31.929,13.922,0.490,11.123,279.962,1.859,0.267,1702.654,111.226,1.816,2.731,0.251,8.427,54.807,0.188,32.168,0.000,3.736,0.024,1.170,0.684,0.532,0.242,2.009,64.381,27.198,2.396,1.537,0.024,6.245,133.007,1787.968,5.892,0.491,18,0,18,94.000
30.296,31.057,32.300,13.013,0.463,8.366,280.365,1.866,0.266,1295.486,97.251,0.439,2.666,0.245,9.077,42.820,0.215,22.902,0.000,3.628,0.037,0.470,0.535,0.809,0.212,1.530,63.208,27.731,1.844,1.577,0.006,5.195,129.408,1381.725,4.887,0.432,19,0,19,133.000
34.405,31.925,32.901,12.071,0.433,8.283,280.567,1.826,0.257,1529.248,99.781,0.043,2.803,0.240,10.094,37.805,0.235,17.547,0.000,3.863,0.065,0.394,0.418,1.158,0.199,1.346,61.194,28.722,1.605,1.770,0.001,4.496,135.858,1560.733,6.744,0.344,20,0,20,155.000
