"Var1","Freq"
"'s-Gravenhage",0
"'s-Hertogenbosch",0
"Aa en Hunze",0
"Aalsmeer",0
"Aalten",0
"Achtkarspelen",0
"Alblasserdam",0
"Albrandswaard",0
"Alkmaar",0
"Almelo",0
"Almere",0
"Alphen-Chaam",0
"Alphen aan den Rijn",0
"Altena",0
"Ameland",0
"Amersfoort",0
"Amstelveen",0
"Amsterdam",2
"Apeldoorn",0
"Appingedam",0
"Arnhem",0
"Assen",0
"Asten",0
"Baarle-Nassau",0
"Baarn",0
"Barendrecht",0
"Barneveld",0
"Beek",0
"Beekdaelen",0
"Beemster",0
"Beesel",0
"Berg en Dal",0
"Bergeijk",0
"Bergen (L.)",0
"Bergen (NH.)",0
"Bergen op Zoom",0
"Berkelland",0
"Bernheze",0
"Best",0
"Beuningen",0
"Beverwijk",0
"Bladel",0
"Blaricum",0
"Bloemendaal",0
"Bodegraven-Reeuwijk",0
"Boekel",0
"Borger-Odoorn",0
"Borne",0
"Borsele",0
"Boxmeer",0
"Boxtel",0
"Breda",0
"Brielle",0
"Bronckhorst",0
"Brummen",0
"Brunssum",0
"Bunnik",0
"Bunschoten",0
"Buren",0
"Capelle aan den IJssel",0
"Castricum",0
"Coevorden",0
"Cranendonck",0
"Cuijk",0
"Culemborg",0
"Dalfsen",0
"Dantumadiel",0
"De Bilt",0
"De Fryske Marren",0
"De Ronde Venen",0
"De Wolden",0
"Delft",0
"Delfzijl",0
"Den Helder",0
"Deurne",0
"Deventer",0
"Diemen",0
"Dinkelland",0
"Doesburg",0
"Doetinchem",0
"Dongen",0
"Dordrecht",0
"Drechterland",0
"Drimmelen",0
"Dronten",0
"Druten",0
"Duiven",0
"Echt-Susteren",0
"Edam-Volendam",0
"Ede",0
"Eemnes",0
"Eersel",0
"Eijsden-Margraten",0
"Eindhoven",0
"Elburg",0
"Emmen",0
"Enkhuizen",0
"Enschede",0
"Epe",0
"Ermelo",0
"Etten-Leur",0
"Geertruidenberg",0
"Geldrop-Mierlo",0
"Gemert-Bakel",0
"Gennep",0
"Gilze en Rijen",0
"Goeree-Overflakkee",0
"Goes",0
"Goirle",0
"Gooise Meren",0
"Gorinchem",0
"Gouda",0
"Grave",0
"Groningen",0
"Gulpen-Wittem",0
"Haaksbergen",0
"Haaren",0
"Haarlem",0
"Haarlemmermeer",0
"Halderberge",0
"Hardenberg",0
"Harderwijk",0
"Hardinxveld-Giessendam",0
"Harlingen",0
"Hattem",0
"Heemskerk",0
"Heemstede",0
"Heerde",0
"Heerenveen",0
"Heerhugowaard",0
"Heerlen",0
"Heeze-Leende",0
"Heiloo",0
"Hellendoorn",0
"Hellevoetsluis",0
