xy_buis (ID),som_key,GHG_ERROR,lon,lat
B17G0113001,1980,-0.28,248678.0,536486.0
RAAI002_7001,1968,0.0,173445.0,398676.0
B50B0566001,1405,0.0,116248.0,395165.0
B57B0421001,1579,-0.04,154979.0,365287.0
B52C2101001,795,-0.01,188628.0,379695.0
B15E0121002,1584,0.05,161250.0,548475.0
B43H0318002,1464,0.11,94027.0,400124.0
5006_PBF3003,1842,0.14,109246.0,404098.0
BULT006001,1095,0.07,187147.0,389799.0
B46B0747002,795,0.08,193515.0,413171.0
RAAI002_11001,1968,-0.05,173445.0,398675.0
B11B1722001,982,-0.26,198162.0,564301.0
B49E0386002,1464,-0.24,80586.0,396468.0
2145001,2231,-0.23,128017.095,411452.976
PEVE048001,2179,-0.15,190830.0,380375.0
2092_PBF1001,1512,-0.08,128306.0,411307.0
B52D1990001,2177,-0.09,192556.0,381428.0
B52E0058001,1574,-0.13,209802.0,394656.0
B52C2110001,976,-0.12,187736.0,380139.0
2201_PBF001,2231,-0.09,128003.0,411419.0
B52E0058002,1574,-0.11,209802.0,394656.0
B16H1479001,722,0.42,213858.0,535867.0
B16H1483001,722,0.42,213908.0,535765.0
B58G0403001,2760,0.34,204419.0,350229.0
5121001,1408,0.37,105355.0,404308.0
B52C2102001,978,0.35,189407.0,379069.0
B50F1374001,1882,0.61,130615.0,389330.0
B51C1778001,1695,0.64,144341.0,378144.0
B57B0491001,1752,0.46,155438.0,370521.0
5243001,439,0.46,113170.0,394254.0
B51C1766001,1579,0.17,143832.0,380528.0
B46A1778001,2404,0.18,182595.0,421467.0
B52C2102002,978,0.19,189407.0,379069.0
PEVE074002,978,0.2,189474.0,379066.0
B52C2103002,1938,0.15,188944.0,378980.0
PEVE073002,1938,0.16,188948.0,378983.0
B57B0488001,1908,0.29,156113.0,370994.0
B57B0493001,1986,0.27,155554.0,368752.0
B52D2142002,1730,0.22,190770.0,379034.0
PEVE120_2001,976,0.22,187603.0,380014.0
2127001,1272,0.22,125742.0,411256.0
B52C2103001,1938,0.24,188944.0,378980.0
B60A0356001,1620,0.52,185820.0,343780.0
B52E0057001,2090,0.84,201893.0,395384.0
B60A0357001,960,0.93,186020.0,343745.0
5270001,1536,0.93,109400.0,390750.0
B60A2560001,1506,1.03,188405.0,343703.0
B50H0371001,1225,0.64,137648.0,380112.0
B52E0254001,2049,0.22,200910.0,397716.0
B44C0308001,865,0.21,104938.0,402126.0
B40F2039001,2224,0.37,215686.024,437809.583
B52C0594002,1278,0.29,189775.0,375370.0
B44C0323002,1222,0.3,103108.0,402391.0
B46G0059001,2226,0.3,200010.0,400660.0
2130001,1451,-0.5,127070.0,411251.0
PEVE049002,2238,-0.72,191133.0,380095.0
B11B1724001,982,-0.69,198198.0,564266.0
B50H0126001,1851,-0.35,139190.0,378670.0
2074001,1331,-0.48,126211.0,411436.0
RAAI002_12001,1968,-0.41,173384.0,398633.0
B58G0148001,2930,-5.58,205410.0,353847.0
B15F0226001,2078,-0.86,176750.0,547480.0
B52D1910001,1159,-0.86,190210.0,381293.0
PEVE036004,1159,-0.85,190210.0,381293.0
B58G0149001,2393,-1.37,206589.0,350964.0
B34B0370001,2531,-0.22,233374.45,474325.63
B40H0158001,2107,1.07,215541.97,436987.13
B43H0256002,1841,0.44,92886.0,404009.0
5274001,1474,0.85,109735.0,391226.0
B40G1226001,1742,,202584.58,433551.93
9153_PBF001,2232,,116817.924,411345.311
9155_PBF001,2232,,116882.825,411386.654
9147_PBF001,2044,,116309.496,413055.709
9149_PBF001,2044,,116391.04,413074.373
MAWA20029001,1800,,177287.5,426448.5
Lochem Weggelhorst 1 (B2)_1123_FT1_WATHTE_m_NAP_GW_DagGem001,1146,,219939.0,464107.0
5315001,1552,0.96,100202.0,388246.0
BETU20012001,1449,,185206.3,439046.8
Lochem Weggelhorst 1 (B1)_1122_FT1_WATHTE_m_NAP_GW_DagGem001,1384,,219975.0,464434.0
B34C1157001,2100,,223323.0,459154.0
B34C0943001,2100,,223444.0,459387.0
B52D217301.0,2058,,192778.0,382114.0
B34C1161001,1684,,222939.0,459439.0
22AC600A001,2523,,226634.0,524435.0
16DG803A001,600,,198097.0,534233.0
B34C1173001,1265,,222060.0,454549.0
B34C0323001,790,,223095.0,454776.0
B34C1158001,1085,,223525.0,459311.0
B34C1187001,1631,,229194.0,461139.0
KERI346_3001,2051,,175155.0,421016.0
KERI346_2001,2051,,175121.0,421045.0
JANS002001,2106,,195790.0,405458.0
B45F0175001,2411,,176759.0,420530.0
BULT009001,1577,,186095.0,389961.0
JANS001001,2112,,195715.0,405709.0
JUHO001001,2179,,190774.0,380378.0
BULT020001,974,,186558.0,390094.0
NPLV012_2001,915,,188162.0,380493.0
BULT021001,1812,,186449.0,390264.0
BULT018001,974,,186516.0,390023.0
BULT019001,974,,186568.0,390102.0
B52C2124001,976,,187737.0,380140.0
BULT013001,853,,186437.0,390054.0
BULT013_2001,853,,186437.0,390055.0
BULT014001,853,,186261.0,390242.0
NPLV032001,2296,,189143.0,378597.0
NPLV025001,2176,,188009.0,379111.0
BULT012_2001,974,,186508.0,390082.0
BULT011001,1095,,187149.0,389798.0
PEVE120001,976,,187603.0,380014.0
B52C2121002,976,,187603.0,380014.0
B23A0769001,2526,-0.8,266686.0,524452.0
2155001,1908,-0.76,128388.0,411151.0
B52G2961001,2443,-0.97,209190.0,378078.0
2125001,1453,-1.11,129241.0,411323.0
B23A0773001,2646,-0.99,266055.0,524418.0
B52E3240001,1474,-0.86,209038.0,390921.0
B23A0770001,2707,-0.43,266420.0,524458.0
B52E3239001,2223,-0.43,205094.0,394329.0
B52D1830002,1159,-0.36,190058.0,381467.0
2130_PBF001,1451,-0.56,127070.0,411251.0
B52E3233001,2409,-0.55,205038.0,394923.0
8129001,1826,-0.52,83302.0,400467.0
B51C0298001,2651,-1.2,149917.0,385247.0
2078001,1334,-1.21,129186.0,411262.0
B27A0004001,1883,0.72,182018.279,494021.6924
B26F0045001,1463,0.9,177760.0454,492205.8695
5270_PBF001,1536,1.23,109400.0,390750.0
B51C0291001,2330,-1.85,149891.0,383974.0
B23A0772001,2707,-1.3,266281.0,524465.0
B40D2175002,1565,-1.29,197157.0,430305.0
B51C0389001,2391,-2.51,149883.0,383086.0
2146001,1272,-0.08,125745.0,411255.0
B57B0298001,1908,-0.07,158510.0,366045.0
2092_PBF2002,1512,-0.06,128306.0,411307.0
B46D1488001,2502,-0.13,194741.0,412020.0
B52G2949001,1965,-0.1,208229.0,381892.0
B46A1592001,2228,0.0,184040.0,418970.0
B52E3232001,2523,-0.05,208086.0,390548.0
B40G1173001,1274,-0.04,200793.0,434993.0
2126_PBF001,2231,-0.03,128038.0,411462.0
2142001,2529,-0.03,127191.0,411366.0
B58G0406001,1200,-0.03,203972.0,351193.0
5192001,563,-0.27,107452.0,404817.0
B40G1185001,1742,-0.26,202575.0,433534.0
B46D1486001,2315,-0.29,194398.0,410896.0
B51C0355001,1845,-0.35,140140.0,377440.0
B52D2024001,1159,-0.34,190322.0,381582.0
PEVE017002,1159,-0.34,190322.0,381582.0
B51A1818001,1970,-0.33,140522.0,396700.0
B52G2948001,2503,-0.33,208578.0,377928.0
B51C0393001,1875,-0.31,148136.0,382291.0
B49H0025001,133,-0.16,97288.0,387269.0
CORK013001,2113,-0.22,187613.0,389260.0
2075001,1331,-0.21,126527.754,411458.901
5227001,1702,-0.21,112658.0,404158.0
B40C0414001,1983,0.47,184710.0,435500.0
B28A0445001,1702,-0.09,225337.08,495970.77
PEVE072001,795,-0.08,188628.0,379696.0
B39H0381002,1440,-0.15,176130.0,435580.0
B21G0012001,661,0.0,204128.0,511133.0
PEVE049001,2238,0.0,191133.0,380095.0
22AP7620001,1088,-0.01,226030.0,515623.0
B43H0257001,1767,0.01,98160.0,402471.0
B46D1492001,1748,-0.02,197498.0,404735.0
B21E0015001,842,-0.04,208707.0,520651.0
5010_PBF001,1672,-0.04,110401.0,404625.0
2145_PBF001,2231,-0.19,128032.0,411457.0
2073_PBF001,1510,-0.62,125768.0,411305.0
2134_PBF001,1391,-0.56,125551.0,411259.0
5006_PBF1001,1842,-0.55,109246.0,404098.0
2155_PBF001,1908,-0.76,128388.0,411151.0
PEVE049_2001,2238,-0.75,191133.0,380095.0
