state,2012,2008,2004,2000,1996,1992,1988,1984,1980
Alabama,0.619,0.624,0.632,0.604,0.563,0.644,0.576,0.623,0.573
Alaska,0.584,0.65,0.676,0.677,0.605,0.74,0.639,0.634,0.627
Arizona,0.559,0.599,0.638,0.525,0.543,0.697,0.578,0.581,0.578
Arkansas,0.533,0.538,0.587,0.506,0.519,0.605,0.572,0.612,0.586
California,0.575,0.634,0.619,0.579,0.613,0.701,0.648,0.68,0.649
Colorado,0.704,0.684,0.675,0.572,0.611,0.727,0.692,0.644,0.67
Connecticut,0.627,0.672,0.632,0.595,0.623,0.788,0.692,0.686,0.729
Delaware,0.673,0.673,0.664,0.648,0.561,0.711,0.614,0.649,0.629
District of Columbia,0.759,0.741,0.692,0.717,0.635,0.725,0.579,0.632,0.535
Florida,0.608,0.638,0.643,0.596,0.564,0.635,0.608,0.592,0.612
Georgia,0.619,0.642,0.568,0.509,0.509,0.573,0.517,0.557,0.55
Hawaii,0.516,0.518,0.508,0.441,0.474,0.619,0.603,0.615,0.635
Idaho,0.639,0.614,0.616,0.561,0.62,0.708,0.671,0.712,0.749
Illinois,0.615,0.626,0.656,0.62,0.591,0.723,0.658,0.736,0.72
Indiana,0.593,0.605,0.586,0.596,0.565,0.644,0.626,0.641,0.639
Iowa,0.694,0.702,0.713,0.674,0.63,0.728,0.649,0.701,0.699
Kansas,0.633,0.633,0.642,0.617,0.634,0.738,0.628,0.662,0.658
Kentucky,0.593,0.631,0.65,0.564,0.53,0.614,0.509,0.606,0.583
Louisiana,0.663,0.703,0.642,0.657,0.627,0.71,0.672,0.683,0.661
Maine,0.686,0.712,0.731,0.701,0.694,0.767,0.685,0.719,0.718
Maryland,0.651,0.683,0.656,0.611,0.572,0.717,0.597,0.647,0.626
Massachusetts,0.708,0.671,0.686,0.653,0.608,0.738,0.683,0.673,0.714
Michigan,0.668,0.678,0.671,0.624,0.599,0.711,0.648,0.666,0.695
Minnesota,0.732,0.75,0.792,0.698,0.689,0.783,0.744,0.78,0.763
Mississippi,0.745,0.697,0.617,0.606,0.555,0.68,0.641,0.702,0.685
Missouri,0.639,0.658,0.685,0.667,0.616,0.683,0.662,0.677,0.70
Montana,0.657,0.654,0.702,0.629,0.681,0.734,0.697,0.74,0.71
Nebraska,0.616,0.673,0.653,0.603,0.627,0.676,0.657,0.654,0.661
Nevada,0.579,0.599,0.589,0.521,0.533,0.645,0.507,0.517,0.548
New Hampshire,0.694,0.712,0.715,0.666,0.61,0.676,0.598,0.617,0.705
New Jersey,0.619,0.641,0.66,0.618,0.606,0.70,0.651,0.671,0.657
New Mexico,0.616,0.626,0.644,0.544,0.555,0.667,0.593,0.648,0.619
New York,0.587,0.588,0.602,0.59,0.587,0.677,0.619,0.659,0.625
North Carolina,0.689,0.675,0.614,0.561,0.555,0.626,0.549,0.579,0.543
North Dakota,0.639,0.675,0.715,0.704,0.661,0.728,0.746,0.729,0.741
Ohio,0.631,0.655,0.661,0.592,0.596,0.691,0.643,0.647,0.638
Oklahoma,0.524,0.587,0.623,0.597,0.592,0.705,0.575,0.626,0.629
Oregon,0.676,0.676,0.74,0.666,0.636,0.739,0.661,0.711,0.719
Pennsylvania,0.616,0.624,0.645,0.574,0.564,0.621,0.569,0.615,0.579
Rhode Island,0.625,0.674,0.637,0.635,0.643,0.751,0.682,0.695,0.711
South Carolina,0.647,0.656,0.632,0.595,0.547,0.593,0.505,0.504,0.526
South Dakota,0.61,0.678,0.683,0.592,0.648,0.718,0.733,0.701,0.77
Tennessee,0.557,0.555,0.546,0.537,0.536,0.568,0.524,0.593,0.582
Texas,0.538,0.561,0.571,0.541,0.515,0.623,0.592,0.594,0.559
Utah,0.57,0.531,0.678,0.602,0.555,0.758,0.729,0.741,0.745
Vermont,0.633,0.647,0.673,0.642,0.604,0.734,0.663,0.645,0.639
Virginia,0.669,0.687,0.631,0.603,0.584,0.643,0.605,0.597,0.576
Washington,0.656,0.668,0.676,0.62,0.623,0.703,0.646,0.695,0.68
West Virginia,0.478,0.534,0.572,0.524,0.506,0.585,0.538,0.605,0.599
Wisconsin,0.736,0.712,0.766,0.701,0.648,0.77,0.713,0.736,0.773
Wyoming,0.589,0.643,0.669,0.629,0.667,0.665,0.638,0.688,0.621
