afwijking_GHG,afwijking_GLG,afwijking_DYN,Bodemtype (categorie),GVG (cmNAP),Start stijghoogte (cmNAP),GHG (cmNAP),GLG (cmNAP),C (d),Landgebruik (categorie),kD (m/d),T (m2/d),AHN (mNAP),Wortelzone (m),Buis,X,Y
-0.28,,,183.0,2.459889888763428,16.4315185546875,2.1947600841522217,3.270430088043213,6.9110450744628915,19.0,2015.1717529296875,4.404409408569336,1904.719970703125,100.0,B17G0113001,248678.0,536486.0
0.0,-0.05,0.05,140.0,0.9354979991912842,11.843281745910645,0.8344709873199463,1.0895999670028689,6.65231466293335,11.0,1209.6475830078125,1.0,1284.3299560546875,100.0,RAAI002_7001,173445.0,398676.0
0.0,0.36,-0.36,147.0,0.2896119952201843,4.736608505249023,0.12945300340652466,0.6802459955215454,5.9426116943359375,17.0,50.8051986694336,1.0,511.95001220703125,30.0,B50B0566001,116248.0,395165.0
-0.04,0.05,-0.09,95.0,0.5079230070114136,33.19701385498047,0.3479959964752197,0.8976330161094666,0.998508870601654,1.0,490.9595031738281,1.0,3397.139892578125,30.0,B57B0421001,154979.0,365287.0
-0.01,-0.03,0.02,34.0,0.7982900142669678,28.615493774414066,0.6493549942970276,1.144029974937439,6.801539421081543,1.0,550.0548706054689,1.0,2938.06005859375,25.0,B52C2101001,188628.0,379695.0
0.05,-0.09,0.14,253.0,0.5608900189399719,-1.126064658164978,0.4155290126800537,0.8923329710960388,1.1393494606018066,13.0,57.79570007324219,1.0,-40.400001525878906,30.0,B15E0121002,161250.0,548475.0
0.11,-0.03,0.14,61.0,0.3673900067806244,-0.8261397480964661,0.2120009958744049,0.7389469742774963,15.618824005126953,17.0,57.10430145263672,1.0,-27.0,30.0,B43H0318002,94027.0,400124.0
0.14,-0.18,0.32,130.0,1.1751699447631836,-0.03693299368023872,0.9484450221061708,1.832069993019104,1.2244114875793457,18.0,127.13980102539062,1.0,193.6999969482422,45.0,5006_PBF3003,109246.0,404098.0
0.07,-0.25,0.32,40.0,0.3400909900665283,27.220895767211914,0.11943600326776505,0.972711980342865,5.092518329620361,20.0,924.9061279296876,1.0,2776.1201171875,20.0,BULT006001,187147.0,389799.0
0.08,-0.06,0.14,330.0,0.8213890194892883,8.786384582519531,0.6263139843940735,1.3516900539398191,1.7851507663726809,1.0,607.551513671875,1.0,989.7000122070312,25.0,B46B0747002,193515.0,413171.0
-0.05,,,140.0,0.9354979991912842,11.843281745910645,0.8344709873199463,1.0895999670028689,6.65231466293335,11.0,1209.6475830078125,1.0,1284.3299560546875,100.0,RAAI002_11001,173445.0,398675.0
-0.26,-0.05,-0.21,40.0,0.2442629933357239,-2.6957027912139893,0.0009585620136931539,0.9674829840660096,2.245080709457397,18.0,14.071599960327148,1.0,-162.89999389648438,20.0,B11B1722001,198162.0,564301.0
-0.24,-0.39,0.15,5.0,0.3650630116462708,-1.7427351474761963,0.2203100025653839,0.6940749883651733,1.3635963201522827,17.0,53.14130020141602,1.0,-135.69999694824222,30.0,B49E0386002,80586.0,396468.0
-0.23,-0.22,-0.01,30.0,1.2744899988174438,-0.7156853675842285,1.1724100112915041,1.432829976081848,0.9990000724792479,1.0,1134.6126708984375,1.0,-13.600000381469727,25.0,2145001,128017.095,411452.976
-0.15,-0.53,0.38,34.0,1.061370015144348,30.41568756103516,0.8664399981498718,1.591099977493286,9.458497047424316,1.0,289.8756103515625,1.0,3126.1201171875,25.0,PEVE048001,190830.0,380375.0
-0.08,-0.01,-0.07,30.0,1.0305999517440796,-0.6706010699272156,0.9076840281486512,1.2722599506378174,1.1478508710861206,1.0,1230.2918701171875,1.0,-2.799999952316284,25.0,2092_PBF1001,128306.0,411307.0
-0.09,0.01,-0.1,34.0,1.0525200366973877,30.797983169555664,0.831682026386261,1.6858500242233276,19.50360679626465,17.0,380.0694885253906,1.0,3186.300048828125,25.0,B52D1990001,192556.0,381428.0
-0.13,-0.07,-0.06,79.0,0.9907469749450684,18.02210235595703,0.8474770188331604,1.313830018043518,2.897425889968872,1.0,979.743408203125,1.0,2001.9000244140625,30.0,B52E0058001,209802.0,394656.0
-0.12,-0.18,0.06,41.0,0.6317309737205505,28.06433486938477,0.44828000664711,1.115530014038086,3.7408325672149663,13.0,695.365478515625,1.0,2892.25,20.0,B52C2110001,187736.0,380139.0
-0.09,-0.04,-0.05,30.0,1.2744899988174438,-0.7156853675842285,1.1724100112915041,1.432829976081848,0.9990000724792479,1.0,1134.6126708984375,1.0,-13.600000381469727,25.0,2201_PBF001,128003.0,411419.0
-0.11,-0.06,-0.05,79.0,0.9907469749450684,18.02210235595703,0.8474770188331604,1.313830018043518,2.897425889968872,1.0,979.743408203125,1.0,2001.9000244140625,30.0,B52E0058002,209802.0,394656.0
0.42,0.53,-0.11,47.0,0.9760100245475768,3.8467729091644287,0.8005229830741882,1.4279600381851196,14.110159873962402,20.0,5160.451171875,1.0,484.3200073242188,25.0,B16H1479001,213858.0,535867.0
0.42,0.52,-0.1,47.0,0.9760100245475768,3.8467729091644287,0.8005229830741882,1.4279600381851196,14.110159873962402,20.0,5160.451171875,1.0,484.3200073242188,25.0,B16H1483001,213908.0,535765.0
0.34,0.21,0.13,352.0,5.14277982711792,26.80153083801269,5.018519878387451,5.389820098876953,3.780552387237549,1.0,3791.79736328125,1.0,2737.60009765625,30.0,B58G0403001,204419.0,350229.0
0.37,0.0,0.37,45.0,0.2416950017213821,-0.09025750309228896,0.004319520201534033,0.9411979913711548,1.4366410970687866,6.0,42.17449951171875,1.0,39.400001525878906,30.0,5121001,105355.0,404308.0
0.35,-0.06,0.41,41.0,0.5498849749565125,29.375986099243164,0.3367229998111725,1.1525299549102783,10.834854125976562,13.0,385.4414978027344,1.0,2992.389892578125,20.0,B52C2102001,189407.0,379069.0
0.61,0.32,0.29,147.0,1.1121100187301636,15.850112915039062,0.9027959704399108,1.69937002658844,3.531137228012085,22.0,103.6519012451172,1.0,1674.800048828125,30.0,B50F1374001,130615.0,389330.0
0.64,0.59,0.05,118.0,0.7530850172042847,23.609607696533203,0.5931490063667297,1.1428300142288208,8.545650482177733,17.0,781.7584838867188,1.0,2387.840087890625,35.0,B51C1778001,144341.0,378144.0
0.46,0.47,-0.01,120.0,0.903877019882202,25.844444274902344,0.7604770064353943,1.2274800539016724,1.3834099769592283,17.0,1027.5323486328123,1.0,2625.18994140625,35.0,B57B0491001,155438.0,370521.0
0.46,0.48,-0.02,118.0,0.3995519876480103,2.308070182800293,0.22969700396060946,0.8289690017700195,15.676319122314453,1.0,94.43000030517578,8.167303085327147,268.70001220703125,35.0,5243001,113170.0,394254.0
0.17,0.43,-0.26,145.0,0.5108190178871155,21.36874389648437,0.3908230066299439,0.7408030033111572,0.9556263089179992,6.0,449.7361145019531,1.0,2179.75,30.0,B51C1766001,143832.0,380528.0
0.18,0.24,-0.06,158.0,1.8205000162124636,6.908379077911378,1.6872800588607788,2.1033799648284908,0.6073920130729675,1.0,1923.60546875,1.0,848.7999877929688,25.0,B46A1778001,182595.0,421467.0
