Datum,Baggervak,Parameter,Value
2021-03-17,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-17,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-17,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-17,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-17,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-17,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-17,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-17,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-17,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-17,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-17,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-17,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-17,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-17,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-17,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-17,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-17,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-17,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-17,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-18,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-18,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-18,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-18,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-18,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-18,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-18,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-18,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-18,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-18,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-18,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-18,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-18,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-18,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-18,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-18,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-18,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-18,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-18,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-19,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-19,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
